month,location,new_cases,new_deaths,population_density,median_age,gdp_per_capita,life_expectancy,gdp_per_capita_cat
2021-02,Romania,799164.0,20287.0,85.129,43.0,23313.199,76.05,0
2021-02,Russia,4246079.0,86122.0,8.823,39.6,24765.954,72.58,0
2021-02,Serbia,456450.0,4429.0,80.291,41.2,14048.881,76.0,0
2021-02,Slovakia,308083.0,7189.0,113.128,41.2,30155.152,77.54,0
2021-02,Slovenia,190425.0,4174.0,102.619,44.5,31400.84,81.32,1
2021-02,Spain,3155466.0,75160.0,93.105,45.5,34272.36,83.56,1
2021-02,Sweden,664854.0,12996.0,24.718,41.0,46949.283,82.8,1
2021-02,Switzerland,554627.0,9628.0,214.243,43.1,57410.166,83.78,1
2021-02,Ukraine,1309853.0,23480.0,77.39,41.4,7894.393,72.06,0
2021-02,United Kingdom,4247290.0,147643.0,272.898,40.8,39753.244,81.32,1
2021-03,Albania,123216.0,2192.0,104.871,38.0,11803.431,78.57,0
2021-03,Austria,524181.0,11175.0,106.749,44.4,45436.686,81.54,1
2021-03,Belarus,317631.0,2211.0,46.858,40.3,17167.967,74.79,0
2021-03,Belgium,864483.0,23024.0,375.564,41.8,42658.576,81.63,1
2021-03,Bosnia and Herzegovina,163875.0,6278.0,68.496,42.5,11713.895,77.4,0
2021-03,Bulgaria,327770.0,12650.0,65.18,44.7,18563.307,75.05,0
2021-03,Croatia,265901.0,5872.0,73.726,44.0,22669.797,78.49,0
2021-03,Cyprus,44981.0,255.0,127.657,37.3,32415.132,80.98,1
2021-03,Czechia,1532129.0,26519.0,137.176,43.3,32605.906,79.38,1
2021-03,Denmark,229549.0,2413.0,136.52,42.3,46682.515,80.9,1
2021-03,Estonia,109478.0,943.0,31.033,42.7,29481.252,78.74,0
2021-03,Finland,81530.0,892.0,18.136,42.8,40585.721,81.91,1
2021-03,France,4090242.0,98071.0,122.578,42.0,38605.671,82.66,1
2021-03,Germany,2784133.0,82426.0,237.016,46.6,45229.245,81.33,1
2021-03,Greece,262916.0,8011.0,83.479,45.3,24574.382,82.24,0
2021-03,Hungary,633861.0,19972.0,108.043,43.4,26777.561,76.88,0
2021-03,Iceland,6205.0,29.0,3.404,37.3,46482.958,82.99,1
2021-03,Ireland,234405.0,4828.0,69.874,38.7,67335.293,82.3,1
2021-03,Italy,3512390.0,107636.0,205.859,47.9,35220.084,83.51,1
2021-03,Latvia,101038.0,2017.0,31.212,43.9,25063.846,75.29,0
2021-03,Lithuania,214027.0,3552.0,45.135,43.5,29524.265,75.93,0
2021-03,Luxembourg,54212.0,496.0,231.447,39.7,94277.965,82.25,1
2021-03,Malta,29073.0,404.0,1454.037,42.4,36513.323,82.53,1
2021-03,Moldova,225660.0,5044.0,123.655,37.6,5189.972,71.9,0
2021-03,Montenegro,88683.0,1134.0,46.28,39.1,16409.288,76.88,0
2021-03,Netherlands,1260645.0,16586.0,508.544,43.2,48472.545,82.28,1
2021-03,North Macedonia,127199.0,4314.0,82.6,39.1,13111.214,75.8,0
2021-03,Norway,93994.0,656.0,14.462,39.7,64800.057,82.4,1
2021-03,Poland,2252074.0,51897.0,124.027,41.8,27216.445,78.73,0
2021-03,Portugal,801809.0,16832.0,112.371,46.2,27936.896,82.05,0
2021-03,Romania,932179.0,22997.0,85.129,43.0,23313.199,76.05,0
2021-03,Russia,4519832.0,97740.0,8.823,39.6,24765.954,72.58,0
2021-03,Serbia,581617.0,5151.0,80.291,41.2,14048.881,76.0,0
2021-03,Slovakia,357910.0,9496.0,113.128,41.2,30155.152,77.54,0
2021-03,Slovenia,213127.0,4360.0,102.619,44.5,31400.84,81.32,1
2021-03,Spain,3298612.0,77929.0,93.105,45.5,34272.36,83.56,1
2021-03,Sweden,791323.0,13527.0,24.718,41.0,46949.283,82.8,1
2021-03,Switzerland,593568.0,9887.0,214.243,43.1,57410.166,83.78,1
2021-03,Ukraine,1610128.0,29563.0,77.39,41.4,7894.393,72.06,0
2021-03,United Kingdom,4405263.0,152211.0,272.898,40.8,39753.244,81.32,1
2021-04,Albania,130270.0,2367.0,104.871,38.0,11803.431,78.57,0
2021-04,Austria,596850.0,12159.0,106.749,44.4,45436.686,81.54,1
2021-04,Belarus,351674.0,2483.0,46.858,40.3,17167.967,74.79,0
2021-04,Belgium,969078.0,24104.0,375.564,41.8,42658.576,81.63,1
2021-04,Bosnia and Herzegovina,195471.0,8224.0,68.496,42.5,11713.895,77.4,0
2021-04,Bulgaria,397100.0,15859.0,65.18,44.7,18563.307,75.05,0
2021-04,Croatia,321372.0,6815.0,73.726,44.0,22669.797,78.49,0
2021-04,Cyprus,62546.0,305.0,127.657,37.3,32415.132,80.98,1
2021-04,Czechia,1638566.0,29405.0,137.176,43.3,32605.906,79.38,1
2021-04,Denmark,249510.0,2474.0,136.52,42.3,46682.515,80.9,1
2021-04,Estonia,120509.0,1141.0,31.033,42.7,29481.252,78.74,0
2021-04,Finland,88301.0,934.0,18.136,42.8,40585.721,81.91,1
2021-04,France,4917483.0,106179.0,122.578,42.0,38605.671,82.66,1
2021-04,Germany,3299027.0,88847.0,237.016,46.6,45229.245,81.33,1
2021-04,Greece,344012.0,10123.0,83.479,45.3,24574.382,82.24,0
2021-04,Hungary,769518.0,26625.0,108.043,43.4,26777.561,76.88,0
2021-04,Iceland,6416.0,29.0,3.404,37.3,46482.958,82.99,1
2021-04,Ireland,246821.0,4955.0,69.874,38.7,67335.293,82.3,1
2021-04,Italy,3949517.0,119021.0,205.859,47.9,35220.084,83.51,1
2021-04,Latvia,115314.0,2264.0,31.212,43.9,25063.846,75.29,0
2021-04,Lithuania,241593.0,3858.0,45.135,43.5,29524.265,75.93,0
2021-04,Luxembourg,59787.0,527.0,231.447,39.7,94277.965,82.25,1
2021-04,Malta,30320.0,431.0,1454.037,42.4,36513.323,82.53,1
2021-04,Moldova,248898.0,6140.0,123.655,37.6,5189.972,71.9,0
2021-04,Montenegro,95029.0,1370.0,46.28,39.1,16409.288,76.88,0
2021-04,Netherlands,1468727.0,17162.0,508.544,43.2,48472.545,82.28,1
2021-04,North Macedonia,150616.0,5414.0,82.6,39.1,13111.214,75.8,0
2021-04,Norway,111049.0,736.0,14.462,39.7,64800.057,82.4,1
2021-04,Poland,2759805.0,65419.0,124.027,41.8,27216.445,78.73,0
2021-04,Portugal,818936.0,16954.0,112.371,46.2,27936.896,82.05,0
2021-04,Romania,1044722.0,27267.0,85.129,43.0,23313.199,76.05,0
2021-04,Russia,4762569.0,108232.0,8.823,39.6,24765.954,72.58,0
2021-04,Serbia,677972.0,6196.0,80.291,41.2,14048.881,76.0,0
2021-04,Slovakia,379911.0,11495.0,113.128,41.2,30155.152,77.54,0
2021-04,Slovenia,237351.0,4566.0,102.619,44.5,31400.84,81.32,1
2021-04,Spain,3519002.0,80128.0,93.105,45.5,34272.36,83.56,1
2021-04,Sweden,948136.0,14071.0,24.718,41.0,46949.283,82.8,1
2021-04,Switzerland,648390.0,10121.0,214.243,43.1,57410.166,83.78,1
2021-04,Ukraine,1988052.0,39948.0,77.39,41.4,7894.393,72.06,0
2021-04,United Kingdom,4486774.0,153476.0,272.898,40.8,39753.244,81.32,1
2021-05,Albania,132285.0,2448.0,104.871,38.0,11803.431,78.57,0
2021-05,Austria,634135.0,12789.0,106.749,44.4,45436.686,81.54,1
2021-05,Belarus,391637.0,2821.0,46.858,40.3,17167.967,74.79,0
2021-05,Belgium,1055987.0,25038.0,375.564,41.8,42658.576,81.63,1
2021-05,Bosnia and Herzegovina,203938.0,9204.0,68.496,42.5,11713.895,77.4,0
2021-05,Bulgaria,418221.0,17657.0,65.18,44.7,18563.307,75.05,0
2021-05,Croatia,355955.0,8002.0,73.726,44.0,22669.797,78.49,0
2021-05,Cyprus,73440.0,368.0,127.657,37.3,32415.132,80.98,1
2021-05,Czechia,1681486.0,30391.0,137.176,43.3,32605.906,79.38,1
2021-05,Denmark,281934.0,2516.0,136.52,42.3,46682.515,80.9,1
2021-05,Estonia,129405.0,1246.0,31.033,42.7,29481.252,78.74,0
2021-05,Finland,93539.0,975.0,18.136,42.8,40585.721,81.91,1
2021-05,France,5391736.0,112567.0,122.578,42.0,38605.671,82.66,1
2021-05,Germany,3677841.0,92549.0,237.016,46.6,45229.245,81.33,1
2021-05,Greece,412536.0,12101.0,83.479,45.3,24574.382,82.24,0
2021-05,Hungary,804032.0,29709.0,108.043,43.4,26777.561,76.88,0
2021-05,Iceland,6572.0,30.0,3.404,37.3,46482.958,82.99,1
2021-05,Ireland,261928.0,5013.0,69.874,38.7,67335.293,82.3,1
2021-05,Italy,4213055.0,126002.0,205.859,47.9,35220.084,83.51,1
2021-05,Latvia,133096.0,2559.0,31.212,43.9,25063.846,75.29,0
2021-05,Lithuania,274557.0,4265.0,45.135,43.5,29524.265,75.93,0
2021-05,Luxembourg,63534.0,538.0,231.447,39.7,94277.965,82.25,1
2021-05,Malta,30699.0,434.0,1454.037,42.4,36513.323,82.53,1
2021-05,Moldova,255105.0,6598.0,123.655,37.6,5189.972,71.9,0
2021-05,Montenegro,97871.0,1488.0,46.28,39.1,16409.288,76.88,0
2021-05,Netherlands,1649855.0,17663.0,508.544,43.2,48472.545,82.28,1
2021-05,North Macedonia,155254.0,5871.0,82.6,39.1,13111.214,75.8,0
2021-05,Norway,125185.0,783.0,14.462,39.7,64800.057,82.4,1
2021-05,Poland,2873341.0,73760.0,124.027,41.8,27216.445,78.73,0
2021-05,Portugal,836944.0,17013.0,112.371,46.2,27936.896,82.05,0
2021-05,Romania,1077426.0,30247.0,85.129,43.0,23313.199,76.05,0
2021-05,Russia,5063442.0,121162.0,8.823,39.6,24765.954,72.58,0
2021-05,Serbia,712046.0,6844.0,80.291,41.2,14048.881,76.0,0
2021-05,Slovakia,389690.0,12339.0,113.128,41.2,30155.152,77.54,0
2021-05,Slovenia,253813.0,4716.0,102.619,44.5,31400.84,81.32,1
2021-05,Spain,3711598.0,81846.0,93.105,45.5,34272.36,83.56,1
2021-05,Sweden,1068988.0,14533.0,24.718,41.0,46949.283,82.8,1
2021-05,Switzerland,691677.0,10322.0,214.243,43.1,57410.166,83.78,1
2021-05,Ukraine,2161201.0,48136.0,77.39,41.4,7894.393,72.06,0
2021-05,United Kingdom,4571090.0,154020.0,272.898,40.8,39753.244,81.32,1
2021-06,Albania,132506.0,2455.0,104.871,38.0,11803.431,78.57,0
2021-06,Austria,640498.0,12940.0,106.749,44.4,45436.686,81.54,1
2021-06,Belarus,414730.0,3103.0,46.858,40.3,17167.967,74.79,0
2021-06,Belgium,1077022.0,25273.0,375.564,41.8,42658.576,81.63,1
2021-06,Bosnia and Herzegovina,204967.0,9638.0,68.496,42.5,11713.895,77.4,0
2021-06,Bulgaria,421515.0,18027.0,65.18,44.7,18563.307,75.05,0
2021-06,Croatia,359607.0,8197.0,73.726,44.0,22669.797,78.49,0
2021-06,Cyprus,75691.0,382.0,127.657,37.3,32415.132,80.98,1
2021-06,Czechia,1687199.0,30486.0,137.176,43.3,32605.906,79.38,1
2021-06,Denmark,295269.0,2531.0,136.52,42.3,46682.515,80.9,1
